Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
Chi è il giocatore di freccette più giovane?,[],[],"['http://dbpedia.org/resource/Chi_lavora_è_perduto', 'http://dbpedia.org/resource/Più_forti_di_prima']",0,0,[],1,1
Is horse racing a sport?,[],[],[],1,1,"['http://dbpedia.org/ontology/raceHorse', 'http://dbpedia.org/ontology/position', 'http://dbpedia.org/ontology/sport']",0,0
Which river does the Brooklyn Bridge cross?,['http://dbpedia.org/resource/Brooklyn_Bridge'],['http://dbpedia.org/ontology/crosses'],['http://dbpedia.org/resource/Brooklyn_Bridge'],1.0,1.0,"['http://dbpedia.org/ontology/river', 'http://dbpedia.org/ontology/crosses']",0.5,1.0
How many people live in Poland?,['http://dbpedia.org/resource/Poland'],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Poland'],1.0,1.0,['http://dbpedia.org/ontology/residence'],0.0,0.0
When was the last episode of the TV series Friends aired?,[],['http://dbpedia.org/ontology/completionDate'],"['http://dbpedia.org/resource/Tv_test_pattern', 'http://dbpedia.org/resource/Thomas_&_Friends_(series_18)']",0,0,"['http://dbpedia.org/ontology/type', 'http://dbpedia.org/property/firstAired']",0.0,0.0
Is the wife of president Obama called Michelle?,['http://dbpedia.org/resource/Barack_Obama'],['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Barack_Obama'],1.0,1.0,"['http://dbpedia.org/property/spouse', 'http://dbpedia.org/ontology/guest']",0.5,1.0
Who is 8th president of US?,[],"['http://dbpedia.org/ontology/wikiPageRedirects', 'http://dbpedia.org/property/name']",['http://dbpedia.org/resource/United_States'],0,0,['http://dbpedia.org/ontology/leader'],0.0,0.0
how much is the total population of  european union?,[],['http://dbpedia.org/ontology/populationTotal'],[],1,1,"['http://dbpedia.org/ontology/totalPopulation', 'http://dbpedia.org/ontology/league']",0.0,0.0
Give me all launch pads operated by NASA.,['http://dbpedia.org/resource/NASA'],[],['http://dbpedia.org/resource/NASA'],1.0,1.0,"['http://dbpedia.org/ontology/institution', 'http://dbpedia.org/ontology/operatedBy']",0,0
Chi ha creato il videogioco World of Warcraft?,['http://dbpedia.org/resource/World_of_Warcraft'],['http://dbpedia.org/ontology/developer'],"['http://dbpedia.org/resource/Ha_Chi-chun', 'http://dbpedia.org/resource/World_of_Warcraft']",0.5,1.0,[],0,0.0
What is the birth name of Adele?,[],['http://dbpedia.org/ontology/birthName'],['http://dbpedia.org/resource/Adele'],0,0,['http://dbpedia.org/ontology/birthName'],1.0,1.0
What is the population of Cairo?,[],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Cairo'],0,0,['http://dbpedia.org/ontology/populationTotal'],1.0,1.0
Is Frank Herbert still alive?,['http://dbpedia.org/resource/Frank_Herbert'],[],['http://dbpedia.org/resource/Frank_Herbert'],1.0,1.0,['http://dbpedia.org/ontology/deathDate'],0,0
What is the last work of Dan Brown?,[],"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/property/releaseDate', 'http://dbpedia.org/ontology/publicationDate']",['http://dbpedia.org/resource/Dan_Brown'],0,0,['http://dbpedia.org/ontology/battle'],0.0,0.0
Where is Sungkyunkwan University?,[],['http://dbpedia.org/ontology/city'],['http://dbpedia.org/resource/Sungkyunkwan_University'],0,0,[],0,0.0
Who is the author of the interpretation of dreams?,[],['http://dbpedia.org/ontology/author'],[],1,1,"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/meaning', 'http://dbpedia.org/ontology/picture']",0.3333333333333333,1.0
When was the death  of  Shakespeare?,[],['http://dbpedia.org/ontology/deathDate'],['http://dbpedia.org/resource/William_Shakespeare'],0,0,['http://dbpedia.org/ontology/deathDate'],1.0,1.0
Who developed Slack?,['http://dbpedia.org/resource/Slack_(software)'],['http://dbpedia.org/ontology/product'],['http://dbpedia.org/resource/Slack'],0.0,0.0,['http://dbpedia.org/ontology/developer'],0.0,0.0
Where is the origin of Carolina reaper?,[],['http://dbpedia.org/ontology/origin'],['http://dbpedia.org/resource/Carolina_Reaper'],0,0,['http://dbpedia.org/ontology/origin'],1.0,1.0
In which year was Rachel Stevens born?,['http://dbpedia.org/resource/Rachel_Stevens'],['http://dbpedia.org/ontology/birthYear'],['http://dbpedia.org/resource/Rachel_Stevens'],1.0,1.0,['http://dbpedia.org/ontology/birthYear'],1.0,1.0
How often did Jane Fonda marry?,['http://dbpedia.org/resource/Jane_Fonda'],['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Jane_Fonda'],1.0,1.0,['http://dbpedia.org/ontology/spouse'],1.0,1.0
Was the wife of president Lincoln called Mary?,['http://dbpedia.org/resource/Abraham_Lincoln'],['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Abraham_Lincoln'],1.0,1.0,"['http://dbpedia.org/property/spouse', 'http://dbpedia.org/property/nickname']",0.5,1.0
Which cities does the Weser flow through?,['http://dbpedia.org/resource/Weser'],['http://dbpedia.org/ontology/city'],['http://dbpedia.org/resource/Weser'],1.0,1.0,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/discharge']",0.0,0.0
In which programming language is GIMP written?,['http://dbpedia.org/resource/GIMP'],['http://dbpedia.org/ontology/programmingLanguage'],['http://dbpedia.org/resource/GIMP'],1.0,1.0,"['http://dbpedia.org/ontology/programmingLanguage', 'http://dbpedia.org/ontology/writer']",0.5,1.0
Which university did Angela Merkel attend?,['http://dbpedia.org/resource/Angela_Merkel'],['http://dbpedia.org/ontology/almaMater'],['http://dbpedia.org/resource/Angela_Merkel'],1.0,1.0,"['http://dbpedia.org/ontology/university', 'http://dbpedia.org/ontology/show']",0.0,0.0
Elenca tutti i musicals con musiche di Elton John.,['http://dbpedia.org/resource/Elton_John'],[],"['http://dbpedia.org/resource/Tutti', 'http://dbpedia.org/resource/Elton_John']",0.5,1.0,[],1,1
How many Aldi stores are there?,['http://dbpedia.org/resource/Aldi'],['http://dbpedia.org/ontology/numberOfLocations'],['http://dbpedia.org/resource/Aldi'],1.0,1.0,[],0,0.0
What is the longest river in the world?,[],[],[],1,1,['http://dbpedia.org/ontology/river'],0,0
When was John Adams born?,['http://dbpedia.org/resource/John_Adams'],['http://dbpedia.org/ontology/birthDate'],['http://dbpedia.org/resource/John_Adams'],1.0,1.0,['http://dbpedia.org/ontology/birthDate'],1.0,1.0
Which companies produce hovercrafts?,['http://dbpedia.org/resource/Hovercraft'],[],"['http://dbpedia.org/resource/Companies_listed_on_the_New_York_Stock_Exchange_(J)', 'http://dbpedia.org/resource/Hovercraft']",0.5,1.0,['http://dbpedia.org/ontology/producer'],0,0
Who was the wife of U.S. president Lincoln?,['http://dbpedia.org/resource/Abraham_Lincoln'],['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Abraham_Lincoln'],1.0,1.0,['http://dbpedia.org/ontology/spouse'],1.0,1.0
Which species does an elephant belong?,[],['http://dbpedia.org/property/species'],['http://dbpedia.org/resource/Elephant'],0,0,"['http://dbpedia.org/ontology/species', 'http://dbpedia.org/ontology/animal']",0.5,1.0
How many people live in the capital of Australia?,['http://dbpedia.org/resource/Australia'],"['http://dbpedia.org/ontology/capital', 'http://dbpedia.org/ontology/populationTotal']",['http://dbpedia.org/resource/Australia'],1.0,1.0,"['http://dbpedia.org/ontology/populationTotal', 'http://dbpedia.org/ontology/capital']",1.0,1.0
In which ancient empire could you pay with cocoa beans?,['http://dbpedia.org/resource/Cocoa_bean'],['http://dbpedia.org/ontology/currency'],['http://dbpedia.org/resource/Cocoa_bean'],1.0,1.0,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/currency']",0.5,1.0
How many theories did Albert Einstein come up with?,[],['http://dbpedia.org/ontology/knownFor'],"['http://dbpedia.org/resource/Theories_of_cloaking', 'http://dbpedia.org/resource/Albert_Einstein']",0,0,[],0,0.0
Who composed the soundtrack for Cameron's Titanic?,['http://dbpedia.org/resource/Titanic_(1997_film)'],['http://dbpedia.org/ontology/musicComposer'],"['http://dbpedia.org/resource/Soundtrack_for_a_Revolution', 'http://dbpedia.org/resource/Cameron', 'http://dbpedia.org/resource/Titanic_(1953_film)']",0.0,0.0,['http://dbpedia.org/ontology/musicComposer'],1.0,1.0
Give me the runtime of Toy Story.,['http://dbpedia.org/resource/Toy_Story'],['http://dbpedia.org/ontology/runtime'],['http://dbpedia.org/resource/Toy_Story'],1.0,1.0,['http://dbpedia.org/ontology/runtime'],1.0,1.0
With how many countries Iran has borders?,[],['http://dbpedia.org/property/borders'],['http://dbpedia.org/resource/Low_Countries'],0,0,['http://dbpedia.org/ontology/division'],0.0,0.0
Which electronics companies were founded in Beijing?,"['http://dbpedia.org/resource/Electronics', 'http://dbpedia.org/resource/Beijing']",[],"['http://dbpedia.org/resource/Novak_Electronics', 'http://dbpedia.org/resource/Beijing']",0.5,0.5,['http://dbpedia.org/property/founder'],0,0
Who was the successor of John F. Kennedy?,['http://dbpedia.org/resource/John_F._Kennedy'],['http://dbpedia.org/ontology/successor'],"['http://dbpedia.org/resource/F', 'http://dbpedia.org/resource/John_F._Kennedy']",0.5,1.0,['http://dbpedia.org/ontology/successor'],1.0,1.0
Who is the mayor of Paris?,['http://dbpedia.org/resource/Paris'],['http://dbpedia.org/ontology/mayor'],['http://dbpedia.org/resource/Paris'],1.0,1.0,['http://dbpedia.org/ontology/mayor'],1.0,1.0
Did Arnold Schwarzenegger attend a university?,['http://dbpedia.org/resource/Arnold_Schwarzenegger'],['http://dbpedia.org/ontology/almaMater'],['http://dbpedia.org/resource/Arnold_Schwarzenegger'],1.0,1.0,"['http://dbpedia.org/ontology/show', 'http://dbpedia.org/ontology/university']",0.0,0.0
James è Bond sposato?,['http://dbpedia.org/resource/James_Bond'],['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/James_Bond'],1.0,1.0,[],0,0.0
Does the Isar flow into a lake?,['http://dbpedia.org/resource/Isar'],[],['http://dbpedia.org/resource/Isar'],1.0,1.0,"['http://dbpedia.org/property/float', 'http://dbpedia.org/ontology/lake']",0,0
Which Indian company has the most employees?,['http://dbpedia.org/resource/India'],[],"['http://dbpedia.org/resource/India', 'http://dbpedia.org/resource/SPIC_(Indian_company)']",0.5,1.0,"['http://dbpedia.org/ontology/numberOfEmployees', 'http://dbpedia.org/ontology/country']",0,0
Who was John F. Kennedy's vice president?,['http://dbpedia.org/resource/John_F._Kennedy'],['http://dbpedia.org/ontology/vicePresident'],['http://dbpedia.org/resource/John_F._Kennedy'],1.0,1.0,['http://dbpedia.org/ontology/vicePresident'],1.0,1.0
Which country does the creator of Miffy come from?,['http://dbpedia.org/resource/Miffy'],"['http://dbpedia.org/ontology/creator', 'http://dbpedia.org/ontology/nationality']",['http://dbpedia.org/resource/Miffy'],1.0,1.0,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/creator']",0.5,0.5
In what city is the Heineken brewery?,['http://dbpedia.org/resource/Heineken'],"['http://dbpedia.org/ontology/manufacturer', 'http://dbpedia.org/ontology/locationCity']",['http://dbpedia.org/resource/Rosmalen_Grass_Court_Championships'],0.0,0.0,['http://dbpedia.org/ontology/city'],0.0,0.0
Is Barack Obama a democrat?,"['http://dbpedia.org/resource/Barack_Obama', 'http://dbpedia.org/resource/Democratic_Party_(United_States)']",['http://dbpedia.org/ontology/party'],['http://dbpedia.org/resource/Barack_Obama'],1.0,0.5,[],0,0.0
List the children of Margaret Thatcher.,['http://dbpedia.org/resource/Margaret_Thatcher'],['http://dbpedia.org/ontology/child'],['http://dbpedia.org/resource/Margaret_Thatcher'],1.0,1.0,['http://dbpedia.org/ontology/child'],1.0,1.0
From which region is the Melon de Bourgogne?,['http://dbpedia.org/resource/Melon_de_Bourgogne'],['http://dbpedia.org/ontology/wineRegion'],['http://dbpedia.org/resource/Melon_de_Bourgogne'],1.0,1.0,['http://dbpedia.org/ontology/region'],0.0,0.0
how big is the total area of North Rhine- Westphalia?,[],['http://dbpedia.org/ontology/areaTotal'],['http://dbpedia.org/resource/North_Rhine-Westphalia'],0,0,['http://dbpedia.org/ontology/areaTotal'],1.0,1.0
Which city has the most inhabitants?,[],[],[],1,1,"['http://dbpedia.org/ontology/city', 'http://dbpedia.org/ontology/country']",0,0
What is Donald Trump's main business?,[],['http://dbpedia.org/ontology/owner'],"['http://dbpedia.org/resource/Donald_Trump', 'http://dbpedia.org/resource/The_Main_Monkey_Business']",0,0,[],0,0.0
When will start the final match of the football world cup 2018?,[],['http://dbpedia.org/property/date'],[],1,1,"['http://dbpedia.org/ontology/head', 'http://dbpedia.org/ontology/rival', 'http://dbpedia.org/ontology/trainer', 'http://dbpedia.org/ontology/title']",0.0,0.0
Which films did Stanley Kubrick direct?,['http://dbpedia.org/resource/Stanley_Kubrick'],['http://dbpedia.org/ontology/director'],['http://dbpedia.org/resource/Stanley_Kubrick'],1.0,1.0,['http://dbpedia.org/ontology/numberOfFilms'],0.0,0.0
how much is the population  Iraq?,[],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Population'],0,0,[],0,0.0
How many inhabitants does the largest city in Canada have?,['http://dbpedia.org/resource/Canada'],"['http://dbpedia.org/ontology/largestCity', 'http://dbpedia.org/ontology/populationTotal']",['http://dbpedia.org/resource/Canada'],1.0,1.0,"['http://dbpedia.org/property/country', 'http://dbpedia.org/ontology/largestCity']",0.5,0.5
Who is the mayor of the capital of French Polynesia?,['http://dbpedia.org/resource/French_Polynesia'],"['http://dbpedia.org/ontology/capital', 'http://dbpedia.org/ontology/mayor']","['http://dbpedia.org/resource/France', 'http://dbpedia.org/resource/French_Polynesia']",0.5,1.0,"['http://dbpedia.org/ontology/mayor', 'http://dbpedia.org/ontology/capital', 'http://dbpedia.org/ontology/country']",0.6666666666666666,1.0
Give me all actors starring in movies directed by William Shatner.,['http://dbpedia.org/resource/William_Shatner'],['http://dbpedia.org/ontology/director'],['http://dbpedia.org/resource/William_Shatner'],1.0,1.0,"['http://dbpedia.org/ontology/artist', 'http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/film', 'http://dbpedia.org/property/directedby']",0.0,0.0
How tall is Claudia Schiffer?,['http://dbpedia.org/resource/Claudia_Schiffer'],['http://dbpedia.org/ontology/height'],['http://dbpedia.org/resource/Claudia_Schiffer'],1.0,1.0,['http://dbpedia.org/ontology/height'],1.0,1.0
how much is the population densty rank of germany?,[],['http://dbpedia.org/property/populationDensityRank'],"['http://dbpedia.org/resource/RANK', 'http://dbpedia.org/resource/Germany']",0,0,[],0,0.0
What is the highest mountain in Italy?,['http://dbpedia.org/resource/Italy'],[],['http://dbpedia.org/resource/Italy'],1.0,1.0,['http://dbpedia.org/ontology/elevation'],0,0
List all games by GMT.,['http://dbpedia.org/resource/GMT_Games'],['http://dbpedia.org/ontology/publisher'],['http://dbpedia.org/resource/Generic_Mapping_Tools'],0.0,0.0,['http://dbpedia.org/ontology/games'],0.0,0.0
What is the official language of Suriname?,['http://dbpedia.org/resource/Suriname'],['http://dbpedia.org/ontology/officialLanguage'],['http://dbpedia.org/resource/Suriname'],1.0,1.0,['http://dbpedia.org/ontology/officialLanguage'],1.0,1.0
In which city did Nikos Kazantzakis die?,['http://dbpedia.org/resource/Nikos_Kazantzakis'],['http://dbpedia.org/ontology/deathPlace'],['http://dbpedia.org/resource/Nikos_Kazantzakis'],1.0,1.0,['http://dbpedia.org/ontology/deathPlace'],1.0,1.0
What is in a chocolate chip cookie?,['http://dbpedia.org/resource/Chocolate_chip_cookie'],['http://dbpedia.org/ontology/ingredient'],['http://dbpedia.org/resource/Chocolate_chip_cookie'],1.0,1.0,[],0,0.0
In which country is the Limerick Lake?,['http://dbpedia.org/resource/Limerick_Lake'],['http://dbpedia.org/ontology/country'],['http://dbpedia.org/resource/Limerick_Lake'],1.0,1.0,['http://dbpedia.org/ontology/country'],1.0,1.0
Give me all video games published by Mean Hamster Software.,['http://dbpedia.org/resource/Mean_Hamster_Software'],[],['http://dbpedia.org/resource/Mean_Hamster_Software'],1.0,1.0,"['http://dbpedia.org/ontology/film', 'http://dbpedia.org/ontology/publisher']",0,0
Give me all members of Prodigy.,['http://dbpedia.org/resource/The_Prodigy'],['http://dbpedia.org/ontology/bandMember'],['http://dbpedia.org/resource/The_Prodigy'],1.0,1.0,['http://dbpedia.org/ontology/bandMember'],1.0,1.0
In which time zone is Rome?,['http://dbpedia.org/resource/Rome'],['http://dbpedia.org/ontology/timeZone'],['http://dbpedia.org/resource/Rome'],1.0,1.0,['http://dbpedia.org/ontology/timeZone'],1.0,1.0
How high is the lighthouse in Colombo?,['http://dbpedia.org/resource/Colombo_Lighthouse'],['http://dbpedia.org/ontology/height'],['http://dbpedia.org/resource/Colombo_Lighthouse'],1.0,1.0,['http://dbpedia.org/ontology/height'],1.0,1.0
Who are the writers of the Wall album of Pink Floyd?,[],['http://dbpedia.org/property/writer'],['http://dbpedia.org/resource/Pink_Floyd_–_The_Wall'],0,0,['http://dbpedia.org/ontology/writer'],1.0,1.0
Who is the mayor of Rotterdam?,['http://dbpedia.org/resource/Rotterdam'],['http://dbpedia.org/ontology/leaderName'],['http://dbpedia.org/resource/Rotterdam'],1.0,1.0,['http://dbpedia.org/ontology/leaderName'],1.0,1.0
What is the largest city in Australia?,['http://dbpedia.org/resource/Australia'],['http://dbpedia.org/ontology/largestCity'],['http://dbpedia.org/resource/Australia'],1.0,1.0,['http://dbpedia.org/ontology/largestCity'],1.0,1.0
Who was married to president Chirac?,['http://dbpedia.org/resource/Jacques_Chirac'],['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Jacques_Chirac'],1.0,1.0,['http://dbpedia.org/ontology/spouse'],1.0,1.0
What form of government is found in South Africa?,[],['http://dbpedia.org/ontology/governmentType'],['http://dbpedia.org/resource/South_Africa'],0,0,"['http://dbpedia.org/ontology/type', 'http://dbpedia.org/ontology/government']",0.0,0.0
How high is the Yokohama Marine Tower?,['http://dbpedia.org/resource/Yokohama_Marine_Tower'],['http://dbpedia.org/ontology/height'],['http://dbpedia.org/resource/Yokohama_Marine_Tower'],1.0,1.0,['http://dbpedia.org/ontology/height'],1.0,1.0
Quali festività sono celebrate nel mondo?,[],[],"['http://dbpedia.org/resource/Raccolta', 'http://dbpedia.org/resource/Ring_Around_the_World']",0,0,['http://dbpedia.org/ontology/anthem'],0,0
Who is the tallest basketball player?,[],[],[],1,1,['http://dbpedia.org/ontology/height'],0,0
How many languages are spoken in Turkmenistan?,['http://dbpedia.org/resource/Turkmenistan'],['http://dbpedia.org/ontology/language'],['http://dbpedia.org/resource/Turkmenistan'],1.0,1.0,"['http://dbpedia.org/ontology/language', 'http://dbpedia.org/ontology/spokenIn']",0.5,1.0
Did Che Guevara have children?,['http://dbpedia.org/resource/Che_Guevara'],['http://dbpedia.org/ontology/child'],['http://dbpedia.org/resource/Che_Guevara'],1.0,1.0,['http://dbpedia.org/ontology/child'],1.0,1.0
Did Kaurismäki ever win the Grand Prix at Cannes?,"['http://dbpedia.org/resource/Aki_Kaurismäki', 'http://dbpedia.org/resource/Grand_Prix_(Cannes_Film_Festival)']",['http://dbpedia.org/ontology/award'],"['http://dbpedia.org/resource/Aki_Kaurismäki', 'http://dbpedia.org/resource/Grand_Prix_(Cannes_Film_Festival)']",1.0,1.0,['http://dbpedia.org/ontology/award'],1.0,1.0
To which party does the mayor of Paris belong?,['http://dbpedia.org/resource/Paris'],"['http://dbpedia.org/ontology/mayor', 'http://dbpedia.org/ontology/party']",['http://dbpedia.org/resource/Paris'],1.0,1.0,"['http://dbpedia.org/ontology/party', 'http://dbpedia.org/ontology/mayor', 'http://dbpedia.org/ontology/date']",0.6666666666666666,1.0
Who is the Formula 1 race driver with the most races?,[],[],['http://dbpedia.org/resource/Race_Driver:_Create_&_Race'],0,0,['http://dbpedia.org/ontology/races'],0,0
What country is Sitecore from?,['http://dbpedia.org/resource/Sitecore'],['http://dbpedia.org/ontology/foundationPlace'],['http://dbpedia.org/resource/Sitecore'],1.0,1.0,['http://dbpedia.org/ontology/country'],0.0,0.0
Give me the birth place of Frank Sinatra.,['http://dbpedia.org/resource/Frank_Sinatra'],['http://dbpedia.org/ontology/birthPlace'],['http://dbpedia.org/resource/Frank_Sinatra'],1.0,1.0,['http://dbpedia.org/ontology/birthPlace'],1.0,1.0
Is Christian Bale starring in Velvet Goldmine?,"['http://dbpedia.org/resource/Velvet_Goldmine', 'http://dbpedia.org/resource/Christian_Bale']",['http://dbpedia.org/ontology/starring'],"['http://dbpedia.org/resource/Christian_Bale', 'http://dbpedia.org/resource/Velvet_Goldmine']",1.0,1.0,['http://dbpedia.org/ontology/starring'],1.0,1.0
Who is the son of Sonny and Cher?,"['http://dbpedia.org/resource/Cher', 'http://dbpedia.org/resource/Sonny_Bono']",['http://dbpedia.org/ontology/parent'],"['http://dbpedia.org/resource/Cher', 'http://dbpedia.org/resource/Sonny_Bono']",1.0,1.0,['http://dbpedia.org/ontology/child'],0.0,0.0
How many ethnic groups live in Slovenia?,['http://dbpedia.org/resource/Slovenia'],['http://dbpedia.org/ontology/ethnicGroup'],['http://dbpedia.org/resource/Slovenia'],1.0,1.0,"['http://dbpedia.org/ontology/ethnicGroup', 'http://dbpedia.org/ontology/populationTotal']",0.5,1.0
What is the capital of Cameroon?,['http://dbpedia.org/resource/Cameroon'],['http://dbpedia.org/ontology/capital'],['http://dbpedia.org/resource/Cameroon'],1.0,1.0,['http://dbpedia.org/ontology/capital'],1.0,1.0
Was Natalie Portman born in the United States?,"['http://dbpedia.org/resource/Natalie_Portman', 'http://dbpedia.org/resource/United_States']","['http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/country']","['http://dbpedia.org/resource/Natalie_Portman', 'http://dbpedia.org/resource/United_States']",1.0,1.0,['http://dbpedia.org/ontology/birthPlace'],1.0,0.5
How many pages does War and Peace have?,['http://dbpedia.org/resource/War_and_Peace'],['http://dbpedia.org/ontology/numberOfPages'],['http://dbpedia.org/resource/War_and_Peace'],1.0,1.0,[],0,0.0
Who is the oldest child of Meryl Streep?,['http://dbpedia.org/resource/Meryl_Streep'],"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/birthDate']",['http://dbpedia.org/resource/Meryl_Streep'],1.0,1.0,['http://dbpedia.org/ontology/child'],1.0,0.5
Which television shows were created by Walt Disney?,['http://dbpedia.org/resource/Walt_Disney'],[],['http://dbpedia.org/resource/Walt_Disney'],1.0,1.0,"['http://dbpedia.org/ontology/televisionSeries', 'http://dbpedia.org/ontology/creator']",0,0
What does IYCM stand for?,[],['http://dbpedia.org/ontology/abbreviation'],[],1,1,['http://dbpedia.org/ontology/position'],0.0,0.0
Which types of grapes grow in Oregon?,['http://dbpedia.org/resource/Oregon_wine'],['http://dbpedia.org/ontology/growingGrape'],['http://dbpedia.org/resource/Oregon'],0.0,0.0,"['http://dbpedia.org/property/type', 'http://dbpedia.org/property/grass', 'http://dbpedia.org/property/flag']",0.0,0.0
Was U.S. president Jackson involved in a war?,['http://dbpedia.org/resource/Andrew_Jackson'],['http://dbpedia.org/ontology/battle'],['http://dbpedia.org/resource/Andrew_Jackson'],1.0,1.0,"['http://dbpedia.org/ontology/address', 'http://dbpedia.org/ontology/profession']",0.0,0.0
When was the Titanic completed?,['http://dbpedia.org/resource/RMS_Titanic'],['http://dbpedia.org/ontology/completionDate'],['http://dbpedia.org/resource/Titanic_(1953_film)'],0.0,0.0,['http://dbpedia.org/ontology/completionDate'],1.0,1.0
Did Tesla win a nobel prize in physics?,"['http://dbpedia.org/resource/Nikola_Tesla', 'http://dbpedia.org/resource/Nobel_Prize_in_Physics']",['http://dbpedia.org/ontology/award'],"['http://dbpedia.org/resource/Nikola_Tesla', 'http://dbpedia.org/resource/Nobel_Prize_in_Physics']",1.0,1.0,"['http://dbpedia.org/ontology/award', 'http://dbpedia.org/property/title', 'http://dbpedia.org/ontology/animal']",0.3333333333333333,1.0
How many states are in Mexico?,[],['http://dbpedia.org/ontology/type'],['http://dbpedia.org/resource/Mexico'],0,0,[],0,0.0
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,"['http://dbpedia.org/resource/Manhattan_Project', 'http://dbpedia.org/resource/Nobel_Peace_Prize']",[],"['http://dbpedia.org/resource/Manhattan_Project', 'http://dbpedia.org/resource/Nobel_Peace_Prize']",1.0,1.0,"['http://dbpedia.org/ontology/knownFor', 'http://dbpedia.org/ontology/knownFor']",0,0
How much did the Lego Movie cost?,['http://dbpedia.org/resource/The_Lego_Movie'],['http://dbpedia.org/ontology/budget'],['http://dbpedia.org/resource/The_Lego_Movie'],1.0,1.0,['http://dbpedia.org/ontology/budget'],1.0,1.0
Who composed the music for Harold and Maude?,['http://dbpedia.org/resource/Harold_and_Maude'],['http://dbpedia.org/ontology/musicComposer'],['http://dbpedia.org/resource/Harold_and_Maude'],1.0,1.0,"['http://dbpedia.org/ontology/musicComposer', 'http://dbpedia.org/ontology/musicComposer']",0.5,1.0
List all episodes of the first season of the HBO television series The Sopranos.,['http://dbpedia.org/resource/The_Sopranos'],['http://dbpedia.org/ontology/series'],"['http://dbpedia.org/resource/HBO', 'http://dbpedia.org/resource/The_Sopranos_(episode)']",0.0,0.0,"['http://dbpedia.org/ontology/episodeNumber', 'http://dbpedia.org/ontology/seasonNumber']",0.0,0.0
Which city has the least inhabitants?,[],[],[],1,1,"['http://dbpedia.org/ontology/city', 'http://dbpedia.org/ontology/country']",0,0
Where is Syngman Rhee buried?,['http://dbpedia.org/resource/Syngman_Rhee'],['http://dbpedia.org/ontology/restingPlace'],['http://dbpedia.org/resource/Syngman_Rhee'],1.0,1.0,['http://dbpedia.org/ontology/restingPlace'],1.0,1.0
Does Neymar play for Real Madrid?,"['http://dbpedia.org/resource/Neymar', 'http://dbpedia.org/resource/Real_Madrid_C.F.']",['http://dbpedia.org/ontology/team'],"['http://dbpedia.org/resource/Neymar', 'http://dbpedia.org/resource/Jorge_Meré']",0.5,0.5,['http://dbpedia.org/ontology/team'],1.0,1.0
Who wrote the book The Pillars of the Earth?,['http://dbpedia.org/resource/The_Pillars_of_the_Earth'],['http://dbpedia.org/ontology/author'],['http://dbpedia.org/resource/The_Pillars_of_the_Earth'],1.0,1.0,['http://dbpedia.org/ontology/author'],1.0,1.0
Do Prince Harry and Prince William have the same parents?,"['http://dbpedia.org/resource/Prince_Harry', 'http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge']","['http://dbpedia.org/ontology/parent', 'http://dbpedia.org/ontology/parent']","['http://dbpedia.org/resource/Prince_Harry', 'http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge']",1.0,1.0,['http://dbpedia.org/ontology/parent'],1.0,0.5
Who was the doctoral supervisor of Albert Einstein?,['http://dbpedia.org/resource/Albert_Einstein'],['http://dbpedia.org/ontology/doctoralAdvisor'],['http://dbpedia.org/resource/Albert_Einstein'],1.0,1.0,['http://dbpedia.org/ontology/doctoralAdvisor'],1.0,1.0
Does Breaking Bad have more episodes than Game of Thrones?,"['http://dbpedia.org/resource/Breaking_Bad', 'http://dbpedia.org/resource/Game_of_Thrones']",['http://dbpedia.org/ontology/numberOfEpisodes'],"['http://dbpedia.org/resource/Breaking_Bad', 'http://dbpedia.org/resource/Game_of_Thrones']",1.0,1.0,['http://dbpedia.org/ontology/episodeNumber'],0.0,0.0
Who was Vincent van Gogh inspired by?,['http://dbpedia.org/resource/Vincent_van_Gogh'],['http://dbpedia.org/ontology/influenced'],['http://dbpedia.org/resource/Vincent_van_Gogh'],1.0,1.0,['http://dbpedia.org/ontology/influenced'],1.0,1.0
